titulo,contenido,categoria
Optimizing Marketing Strategies: Predicting Customer Personality using Advanced Machine Learning Models,"In the competition of modern marketing, it is highly important to foresee the correct personality profiles of customers because this may further improve the result of marketing campaigns. Therefore, in this research, three major models of machine learning are used, including Random Forest Classifier, Support Vector Machine (SVM), and Gradient Boosting Classifier, to discuss the challenges of predicting customer personalities. This study is helpful in finding unique customer segments and appropriate marketing strategies. These algorithms are valid to use for classifying customer personalities, and then determine the efficiency of it using the context also proves that through the more complex applications of such approaches, the efficacy of targeted marketing might be enhanced appropriately. Therefore, even more advanced deep learning techniques would be used at the next stage of research to further improve the forecasting accuracy and applicability in various marketing scenarios.",Support vector machines;Deep learning;Accuracy;Machine learning algorithms;Predictive models;Boosting;Prediction algorithms;Forecasting;Random forests;Optimization;Customer Personality Prediction;Customer Segmentation;Random Forest Classifier Support Vector Machine (SVM);Gradient Boosting Classifier;Marketing Strategy Optimization
A Machine Learning Approach to Predict Same-Day Discharge after Angiography Procedures,"Discharging patients from the hospital to care at home on the same day has been demonstrated to be as safe as overnight stays. The correct selection of patients who may undergo same-day discharge (SDD) is a significant challenge due to the large volume of variables that must be considered. This paper proposes a machine-learning approach to predict SDD after angiography procedures. Data from 3227 patients scheduled for angiography procedures, including information about geographical location, demographic characteristics, pre-existing diseases, and clinical procedure type, were used to train and test machine learning algorithms, such as logistic regression (LR), K-Nearest Neighbor, Naive Bayes, Multilayer Perceptron, and Support Vector Machine (SVM). The target was to predict patients with or without same-day discharge after they received an angiography procedure. Performance metrics, such as accuracy, precision, recall, F1-score, learning time, and inference time, were computed for each algorithm. The algorithms with the best performance were LR and SVM, with an F1-score of 0.800 and 0.806, respectively. LR had better behavior than SVM concerning learning and inference time.",Support vector machines;Machine learning algorithms;Angiography;Machine learning;Fault location;Nearest neighbor methods;Prediction algorithms;Inference algorithms;Physiology;Diseases;angiography procedures;machine learning;same-day discharge
"Multimodal Representation Learning: Advances, Trends and Challenges","Representation learning is the base and crucial for consequential tasks, such as classification, regression, and recognition. The goal of representation learning is to automatically learning good features with deep models. Multimodal representation learning is a special representation learning, which automatically learns good features from multiple modalities, and these modalities are not independent, there are correlations and associations among modalities. Furthermore, multimodal data are usually heterogeneous. Due to the characteristics, multimodal representation learning poses many difficulties: how to combine multimodal data from heterogeneous sources; how to jointly learning features from multimodal data; how to effectively describe the correlations and associations, etc. These difficulties triggered great interest of researchers along with the upsurge of deep learning, many deep multimodal learning methods have been proposed by different researchers. In this paper, we present an overview of deep multimodal learning, especially the approaches proposed within the last decades. We provide potential readers with advances, trends and challenges, which can be very helpful to researchers in the field of machine, especially for the ones engaging in the study of multimodal deep machine learning.",Multimodal;Representation learning;Machine learning;deep learning;Multimodal deep learning
Research on Edge Network Topology Optimization Based on Machine Learning,"Edge network topology optimization is an innovative structural design method that has made significant breakthroughs in the fields of aerospace and engineering. The use of data-driven network topology optimization has become the direction and trend of future structured topology research. At present, machine learning is fast, with greatly improved efficiency and accuracy; Machine learning can effectively solve the time-consuming problem of traditional implicit topology; And the prediction result of machine learning algorithm can be used as the Initial condition for optimizing the movable deformation component, so as to achieve the effect of rapid convergence. Network structure topology optimization can be widely applied in the field of science and technology, deepening scientific research, and promoting the continuous development of scientific productivity.",Productivity;Machine learning algorithms;Network topology;Deformation;Design methodology;Optimization methods;Machine learning;data-driven;Machine learning;Edge network;Network structure;algorithm
An overview of Machine Learning Technologies and their use in E-learning,"Thanks to new technologies, internet, connected objects we produce a phenomenal amount of data. Putting these data in context, organizing them to be able to perceive, understand and reflect them is very important. Traditionally, human have analyzed data. However, as the volume of data surpasses, human increasingly turn to automated systems that can imitate him. Those systems able to learn from both data and changes in data in order to solve problems are called machine learning. Artificial intelligence has a major impact on e-learning research and the machine learning based methods can be implemented to improve Technology Enhanced Learning Environments (TELE). This paper is an overview of the recent findings in this research field. At first, we introduce the key concepts related to machine learning. Then, we present some recent works using machine learning in e-learning context.",Machine learning;Machine learning algorithms;Support vector machines;Electronic learning;Computer science;Task analysis;E-learning;Technology Enhanced Learning Environments;Data;Learners' traces;Machine Learning;Deep Learning
Sentiment Analysis: A Machine Learning Perspective,"An essential part of natural language processing, sentiment analysis makes it possible to automatically extract sentiment from textual input. In this work, we examine how well different machine learning algorithms perform when used to analyze the sentiment of real-time Amazon reviews in the automobile niche. Leveraging a dataset comprising reviews from Amazon users, we employ SVM, KNN, Logistic Regression, and Random Forest algorithms to categorize text sentiment as positive, negative, or neutral. This work evaluates the performance of each algorithm in sentiment analysis tasks using strict evaluation standards and testing. Our findings provide insights into the effectiveness of machine learning approaches for analyzing sentiment in real-time reviews, offering valuable implications for businesses and organizations aiming to leverage customer feedback for decision-making and user experience enhancement.",Support vector machines;Sentiment analysis;Logistic regression;Machine learning algorithms;Reviews;Decision making;Signal processing algorithms;Real-time systems;Automobiles;Random forests;Random Forest;Logistic Regression;K-Nearest Neighbor (KNN);Support Vector Machine (SVM);NLP;Machine Learning (ML);Sentiment analysis;Reviewer text;Categorization;Predictive tasks
Semi-Supervised Machine Learning for Analyzing COVID-19 Related Twitter Data for Asian Hate Speech,"The COVID-19 pandemic left a lot of people sick, tired, and frustrated. Many people expressed their feelings on social media through comments and posts. Detecting hate speech on social media is important to help reduce the spread of racist comments. Machine learning algorithms can be used to classify hate speech. In our experiments, we implement semi-supervised machine learning algorithms to classify Twitter data. We used a count vectorizer as the feature and a support vector machine (SVM) classifier to classify COVID-19 related Twitter data while changing the amount of labeled data available. We found that self-training semi-supervised machine learning has similar effectiveness to supervised learning when there is significantly less training data available.",COVID-19;Support vector machines;Machine learning algorithms;Social networking (online);Supervised learning;Hate speech;Blogs;Asian hate;machine learning;self-training;semi-supervised;Twitter
Machine Learning Models for Cardiovascular Disease Events Prediction,"Cardiovascular diseases (CVDs) are among the most serious disorders leading to high mortality rates worldwide. CVDs can be diagnosed and prevented early by identifying risk biomarkers using statistical and machine learning (ML) models, In this work, we utilize clinical CVD risk factors and biochemical data using machine learning models such as Logistic Regression (LR), Support Vector Machine (SVM), Random Forest (RF), Naïve Bayes (NB), Extreme Grading Boosting (XGB) and Adaptive Boosting (AdaBoost) to predict death caused by CVD within ten years of follow-up. We used the cohort of the Ludwigshafen Risk and Cardiovascular Health (LURIC) study and 2943 patients were included in the analysis (484 annotated as dead due to CVD). We calculated the Accuracy (ACC), Precision, Recall, F1-Score, Specificity (SPE) and area under the receiver operating characteristic curve (AUC) of each model. The findings of the comparative analysis show that Logistic Regression has been proven to be the most reliable algorithm having accuracy 72.20 %. These results will be used in the TIMELY study to estimate the risk score and mortality of CVD in patients with 10-year risk.",Support vector machines;Machine learning algorithms;Biological system modeling;Computational modeling;Machine learning;Predictive models;Prediction algorithms;Machine Learning Models;Cardiovascular Disease;Risk Scores;10-Year Risk of CVD
A Class-Incremental Learning Method for Multi-Class Support Vector Machines in Text Classification,"To solve multi-class problems of support vector machines (SVM) more efficiently, a novel framework, which we call class-incremental learning (CIL), is proposed in this paper. CIL consists of two phases: incremental feature selection and incremental training, for updating the knowledge of old SVM classifiers in text classification when new classes are added to the system. CIL reuses the old models of the classifier and learns only one binary sub-classifier with an additional phase of feature selection when a new class comes. In the testing phase, current classifier is applied to the vectors' projections on the sub-spaces concerned. CIL can serve as a flexible approach for all binary classification algorithms in text classification. Our experiment shows that the CIL-based SVM was not only substantially faster in training time than the popular batch SVM learning methods such as 1-against-rest, 1-against-1 and divide-by-2 but also almost competed to the best performances in effectiveness of them",Learning systems;Support vector machines;Support vector machine classification;Text categorization;Machine learning;Information filtering;Information filters;Decision trees;Automation;Electronic mail;Machine learning;class-incremental learning;support vector machines;text classification;feature selection;Internet information filtering
A Survey on Skin Lesion Detection and Classification using Machine Learning,"The research explores how dermatologists use machine learning to quickly and accurately identify and classify skin injury. Conventional diagnosis techniques depend on visual examination, but are subjective and have different interpretations. The ability to analyze data and recognize patterns is a possible remedy for ML. The paper examines the current technology of machine learning, focusing on validation in the real world, and deals with data set variability. Although the research acknowledges the fruitfulness of deep learning (DL), the research emphasizes the benefits of traditional ML techniques regarding interpretation and processing performance. Methods for automating the analysis of skin lesions, such as feature engineering, rule-based techniques and traditional ML algorithms, have been studied. The study suggests using advanced transfer learning techniques, integrating genetic and clinical data, and refining the way artificial intelligence (AI) is explained in order to get over barriers. Intending to enhance the accessibility and correctness of skin lesion identification, the future requires collaboration between dermatology and machine learning to develop real-time diagnostic tools. By offering scalable solutions for rapid diagnosis of lesions and improved patient outcomes, this combination of medical expertise and ML capabilities has the power to revolutionize dermatology. The future of automated dermatological diagnosis is expected to be shaped by collaboration between machine learning experts and dermatologists, enabling more personalized treatment for patients.",Machine learning algorithms;Dermatology;Transfer learning;Collaboration;Machine learning;Genetics;Skin;skin lesion;machine learning;survey;deep learning;CNN
Machine learning-based distinction of left and right foot contacts in lower back inertial sensor gait data,"Digital gait measures derived from wearable inertial sensors have been shown to support the treatment of patients with motor impairments. From a technical perspective, the detection of left and right initial foot contacts (ICs) is essential for the computation of stride-by-stride outcome measures including gait asymmetry. However, in a majority of studies only one sensor close to the center of mass is used, complicating the assignment of detected ICs to the respective foot. Therefore, we developed an algorithm including supervised machine learning (ML) models for the robust classification of left and right ICs using multiple features from the gyroscope located at the lower back. The approach was tested on a data set including 40 participants (ten healthy controls, ten hemiparetic, ten Parkinson’s disease, and ten Huntington’s disease patients) and reached an accuracy of 96.3% for the overall data set and up to 100.0% for the Parkinson’s sub data set. These results were compared to a state-of-the-art algorithm. The ML approaches outperformed this traditional algorithm in all subgroups. Our study contributes to an improved classification of left and right ICs in inertial sensor signals recorded at the lower back and thus enables a reliable computation of clinically relevant mobility measures.",Machine learning algorithms;Inertial sensors;Computational modeling;Machine learning;Classification algorithms;Gyroscopes;Reliability
A Survey of Optimized Compiler Using Advanced Machine learning and Deep Learning Techniques,"Optimizing compilers is a difficult and time-consuming task, especially when done by hand. As far as we know, the compiler handles both translation and optimization. An efficient compiler system can become more automated and simple, as evidenced by recent studies using deep learning and machine learning approaches. Model training, prediction, optimization, and feature selection are handled by most machine learning and deep learning methods. In this case, choosing the optimal characteristics is necessary in order to use deep learning and machine learning techniques to enhance the optimization quality. This study examines various approaches that might be utilized to enhance and refine the quality of the chosen heuristics as well as the general quality of machine learning and deep learning models in order to boost the compiler's efficiency. The phase-ordering problem, the amount of iterative program evaluations, and the time needed to obtain the best forecast are only a few of the many subjects covered by these approaches.",Deep learning;Surveys;Training;Translation;Optimizing compilers;Artificial neural networks;Predictive models;Iterative methods;Optimization;Unsupervised learning;Phase-ordering;machine learning-ML;optimized compiler;deep learning;survey
Alignment-Free Sequence Comparison: A Systematic Survey From a Machine Learning Perspective,"The encounter of large amounts of biological sequence data generated during the last decades and the algorithmic and hardware improvements have offered the possibility to apply machine learning techniques in bioinformatics. While the machine learning community is aware of the necessity to rigorously distinguish data transformation from data comparison and adopt reasonable combinations thereof, this awareness is often lacking in the field of comparative sequence analysis. With realization of the disadvantages of alignments for sequence comparison, some typical applications use more and more so-called alignment-free approaches. In light of this development, we present a conceptual framework for alignment-free sequence comparison, which highlights the delineation of: 1) the sequence data transformation comprising of adequate mathematical sequence coding and feature generation, from 2) the subsequent (dis-)similarity evaluation of the transformed data by means of problem-specific but mathematically consistent proximity measures. We consider coding to be an information-loss free data transformation in order to get an appropriate representation, whereas feature generation is inevitably information-lossy with the intention to extract just the task-relevant information. This distinction sheds light on the plethora of methods available and assists in identifying suitable methods in machine learning and data analysis to compare the sequences under these premises.",Machine learning;Machine learning algorithms;Task analysis;Bioinformatics;Hardware;Data analysis;Systematics;Alignment-free sequence comparison;machine learning;systematization;proximity measures;data transformation;feature generation
Survey on Automated Machine Learning (AutoML) and Meta learning,"Automated Machine Learning is an area of research that has gained lots of research in the past few years. To build a high qualitymodel for Machine learning we need technical experts who have good knowledge in exploring various machines learning algorithm as well as to tune the hyperparameters efficiently. The size of data is increasing, it is observed that data scientist cannot address this challenging tasks due to lack of expertise and experience in the respective domain. So, there is a need to automate such crucial task inthe domain of machine learning. Metalearning is “learning to learn” like human expertise. This paper is initial survey of ongoing research in field of Meta Learning and AutoML.",Knowledge engineering;Deep learning;Machine learning algorithms;Costs;Machine learning;Artificial neural networks;Tools;AutoML;Deep Learning;Few shot learning;General AI;MetaLearning;Machine learning;Neural Networks;Meta-Reinforcement Learning;Meta-imitation Learning;One shot learning
Construction of Enterprise Business Management Analysis Framework in the Development of Artificial Intelligence,"In this era of rapid development, artificial intelligence has gradually entered our life, as a will be applied to the global technology, artificial intelligence in many fields have broad application prospects, artificial intelligence as the product of social development and technological innovation, has become a new round of scientific and technological innovation and the core driving force, is on the world economy, social progress and people’s life has had an extremely profound impact. The commercial application of artificial intelligence will change the internal operation and production and operation process of enterprises, and brings many challenges and reform opportunities for enterprise management. Article for the impact of artificial intelligence on the enterprise business management, analyze the application of enterprise business management and the impact of the technology application to the enterprise, and combined with some possible problems, in order to make artificial intelligence technology can be better applied in the enterprise management, put forward part of the corresponding solutions.",Technological innovation;Information science;Force;Production;Artificial intelligence;Business;Artificial intelligence;enterprise management
How do we move towards true artificial intelligence,"At present, the development of artificial intelligence technology has entered a new bottleneck period, and the algorithm dividend based on statistics has been exhausted. In the future, we should pay more attention to improving the efficient, intelligent collaboration among humans, machines, and the environment. This review first discusses the bottleneck problems encountered in the current artificial intelligence technology, then analyzes the essence of human intelligence and the differences, advantages, and disadvantages of the current machine intelligence and human intelligence. Based on this, it puts forward that the enhancement point of artificial intelligence technology is to enhance the efficient cooperation of the human-computer environment and states our solution, namely the deep situation awareness method based on human-computer integration technology. In the end, we put forward some thoughts about intelligence.",Smart cities;Human intelligence;Collaboration;Artificial intelligence;Machine intelligence;Artificial Intelligence;Human-computer Collaborative;Situation Awareness
Application and existing problems of computer network technology in the field of artificial intelligence,"With the development of science and technology, computer technology is more and more widely used in people's life. As a branch of computer technology, artificial intelligence technology is also gradually developing and expanding, affecting people's life. Nowadays, the processing ability shown by simple computer technology has gradually lagged behind the times. If you want more convenient data processing, artificial intelligence is an excellent solution. Agent technology in artificial intelligence makes artificial intelligence have stronger data processing ability and learning ability than computer technology, and can make decisions quickly according to data information. Artificial intelligence technology can promote automation and intelligence in various industries and improve the production efficiency of enterprises. Starting from the elaboration of artificial intelligence, this paper deeply explores the relationship between artificial intelligence and computer, analyzes the development status of artificial intelligence and computer, and puts forward the technical problems between artificial intelligence and computer, so as to provide reference for the further development of artificial intelligence.",Industries;Data analysis;Costs;Production;Learning (artificial intelligence);Planning;Data governance;artificial intelligence;Computer technology;Agent
A Review on Artificial Intelligence with Deep Human Reasoning,"Artificial Intelligence (AI) is a broad term that can be construed to mean a focusing computer programming and development that is designed to train machines and to perform task. Artificial intelligence can be used to test theories of reasoning like cognitive reasoning and consciousness. Research has been conducted on the development of machines with human behavior and cognitive characteristics that are related to consciousness. Artificial Intelligence and Reasoning that are dealt with, can necessarily solve problems related to mental health issues that humans find complex, but research on new interaction techniques and human for cooperation theories, technologies limited the issues and challenges facing the application of artificial reasoning. Here in this paper, the relation between artificial intelligence human reasoning that is also called as AI reasoning or artificial reasoning has been studied. Artificial intelligence impacts reasoning and how artificial reasoning can be used in day-to-day activities to regain our mental health. Moreover, this work focuses on problems that can be solved with AI Reasoning in trying to find the possible solutions.",Focusing;Mental health;Programming;Cognition;Artificial intelligence;Task analysis;Artificial reasoning;Artificial emotion;Cognitive reasoning;Artificial super intelligence;Linguistics
The Risks and Countermeasures of Accounting Artificial Intelligence,"Under the background of the information age, the development of science and technology has had an unprecedented situation, which makes people's lives have undergone tremendous changes, especially the development of artificial intelligence, which has increasingly penetrated into the field of accounting, which has attracted the attention of staff in various industries. The development of anything has two sides, while creating opportunities for us, but also bringing us certain challenges. This paper opens an analysis and discussion on the possible risks posed by accounting artificial intelligence. These include the staff risk of unemployment, and the information security risk analysis of the job content. In addition, corresponding solutions are put forward to help manage the transformation of accounting transformation and prevent the risks of artificial intelligence. The aim is to enhance our comprehensive thinking on artificial intelligence, improve the awareness of risk prevention in the application process of the accounting field, so that artificial intelligence technology has a good development space in the accounting field.",Industries;Information security;Learning (artificial intelligence);Information age;Risk analysis;Artificial intelligence;Unemployment;Accounting;artificial intelligence;risk;countermeasures
Research on the Application of Artificial Intelligence in Hotels,"At present, driven by new theories and technologies such as the Internet and big data, artificial intelligence is developing rapidly, and all walks of life are actively integrating with artificial intelligence technology to advance the development of the industry. This article takes the application of artificial intelligence in hotels as the research object, preliminaries analyzes the current status and existing problems of artificial intelligence development in the hotel industry, and proposes relevant solution strategies, hoping to provide certain ideas for the efficient application of artificial intelligence in hotels. To help hotel companies use artificial intelligence more rationally to enhance guest loyalty and satisfaction.",Industries;Databases;Learning (artificial intelligence);Companies;Big Data;Internet;Artificial intelligence;Information technology;Optimization;Faces;artificial intelligence;hotel
Analysis on the application of artificial intelligence in marketing,"With the continuous development of modern information technology, various new development technologies are gradually emerging. As an important development content of the discipline of computer science, artificial intelligence can simulate human activities through intelligent systems or intelligent machines, so as to extend people’s intelligence. Artificial intelligence has been widely used in all walks of life, combining artificial intelligence and marketing technology, can effectively innovate the traditional marketing methods, improve the overall development quality of marketing, through the analysis of artificial intelligence in the field of marketing application status, clear the advantages of artificial intelligence in the field of marketing, so as to better promote the overall quality of artificial intelligence in marketing development.",Computer science;Information science;Product design;Quality assessment;Artificial intelligence;Intelligent systems;Information technology;Artificial intelligence;Marketing
Application of artificial intelligence in computer network technology,"With the development of science and technology, artificial intelligence has been widely used in many fields, smart TVs, intelligent sweeping robots, intelligent voice, etc. are quiet trigger great changes in human society. At the same time, people are also exploring the integration and development of computer network technology and artificial intelligence, in order to use artificial intelligence advantages improve the accuracy and efficiency of data processing. The author first analyzes the concept of artificial intelligence, and then analyzes artificial intelligence in computer network technology in detail. The application of artificial intelligence in the field of computer is finally discussed.",Smart TV;Data processing;Computer networks;Artificial intelligence;Autonomous robots;artificial intelligence concept;Computer artificial intelligence technology;apply
